,id,coordinate,Start_Date,End_Date
56,266014,"[-0.651476, 40.189944]",-30.0,300.0
57,266017,"[-4.50716, 38.005797]",-330.0,300.0
58,266021,"[-0.278608, 39.680031]",-550.0,640.0
59,266022,"[-3.368532, 38.008075]",-330.0,300.0
60,266023,"[-1.920214, 38.866536]",-30.0,300.0
61,266025,"[-1.722773, 38.918645]",-330.0,640.0
62,266029,"[-3.10185, 38.028219]",-30.0,300.0
63,266034,"[-0.138097, 39.959582]",-330.0,640.0
64,266035,"[-1.418729, 38.239102]",-330.0,300.0
65,266036,"[-2.81302, 39.885321]",-330.0,640.0
66,266037,"[-3.587137, 36.74623]",-30.0,300.0
67,266043,"[-4.517906, 38.645383]",-330.0,640.0
68,266048,"[-4.086746, 37.591059]",-30.0,300.0
69,266051,"[-4.186553, 38.074265]",-330.0,640.0
70,266052,"[-0.43809, 39.150204]",-330.0,300.0
71,266055,"[-4.628919, 36.525435]",-750.0,640.0
72,266058,"[-2.439482, 37.345474]",-330.0,300.0
73,266063,"[-0.765831, 37.878103]",-330.0,640.0
74,266066,"[-4.024491, 39.85668]",-330.0,640.0
75,266069,"[-1.501013, 37.771263]",-330.0,300.0
76,266070,"[-3.966243, 37.722761]",-330.0,640.0
77,266071,"[3.21062, 39.568749]",-30.0,640.0
78,266072,"[-3.152365, 37.877689]",-550.0,640.0
79,266078,"[-2.551194, 37.742896]",-750.0,640.0
80,266081,"[-4.552369, 37.682102]",-330.0,300.0
81,266085,"[-2.450598, 36.913021]",-330.0,640.0
82,266087,"[-4.054925, 37.93645]",-330.0,640.0
83,266092,"[-2.151217, 39.809156]",-330.0,640.0
84,266093,"[-3.538666, 37.626929]",-30.0,640.0
85,266094,"[-3.499679, 39.960387]",-30.0,640.0
86,266096,"[-2.636366, 38.48772]",-30.0,300.0
87,275578,"[-5.959999, 35.149999]",-30.0,640.0
88,275584,"[-5.615987, 34.006995]",-30.0,300.0
89,275593,"[-5.913774, 34.911715]",-30.0,300.0
90,275615,"[-5.93005, 35.79]",-750.0,300.0
91,275620,"[-6.11995, 35.245358]",-330.0,300.0
92,275623,"[-5.23159, 35.513781]",-330.0,300.0
93,275627,"[-5.928089, 34.259999]",-30.0,300.0
94,275651,"[-6.763371, 33.9894]",-30.0,300.0
95,275652,"[-5.346157, 35.550581]",-330.0,300.0
96,275653,"[-6.005866, 35.511263]",-330.0,640.0
97,275659,"[-5.56309, 35.8451]",-330.0,640.0
98,275671,"[-5.452453, 35.901179]",-30.0,640.0
99,275681,"[-6.127611, 34.799334]",-30.0,300.0
100,275685,"[-5.902791, 35.008501]",-30.0,300.0
